Hours,Filename,x,y,d,d_err,R_sun,B_0
1.5,20240225_0730_hmiigr_512.jpg,95,383,204.89997559785115,0.7071067811865476,239.76638793945312,-30.460239413669278
3.0,20240225_0900_hmiigr_512.jpg,96,383,204.12006270820123,0.7071067811865476,239.78558349609375,-29.975374608315008
4.5,20240225_1030_hmiigr_512.jpg,98,383,202.5660386145713,0.7071067811865476,239.7882843017578,-29.98173300891562
7.5,20240225_1330_hmiigr_512.jpg,101,383,200.24984394500785,0.7071067811865476,239.79360961914062,-29.9883823745451
9.0,20240225_1500_hmiigr_512.jpg,102,382,198.84164553734712,0.7071067811865476,239.83541870117188,-30.005467917958672
10.5,20240225_1630_hmiigr_512.jpg,104,382,197.3068675946177,0.7071067811865476,239.8458709716797,-30.012648216720418
13.5,20240225_1930_hmiigr_512.jpg,107,381,194.3707796969493,0.7071067811865476,239.8461456298828,-30.01851367217012
15.0,20240225_2100_hmiigr_512.jpg,109,381,192.85227507084275,0.7071067811865476,239.84469604492188,-30.029894619292232
16.5,20240225_2230_hmiigr_512.jpg,111,381,191.34262462922368,0.7071067811865476,239.83541870117188,-30.034455839039307
18.0,20240226_0000_hmiigr_512.jpg,113,381,189.84203960134857,0.7071067811865476,239.78567504882812,-30.03391069099792
19.5,20240226_0130_hmiigr_512.jpg,115,381,188.35073665903195,0.7071067811865476,239.7882843017578,-30.039884405553636
21.0,20240226_0300_hmiigr_512.jpg,116,380,186.93849255838134,0.7071067811865476,239.74488830566406,-30.040056394761137
24.0,20240226_0600_hmiigr_512.jpg,120,380,183.98369492974098,0.7071067811865476,239.7195587158203,-30.042453123696664
25.5,20240226_0730_hmiigr_512.jpg,122,379,181.8378398463862,0.7071067811865476,239.7224578857422,-30.053849676008152
30.0,20240226_1200_hmiigr_512.jpg,127,379,178.2133552795637,0.7071067811865476,239.74290466308594,-30.061872013009943
31.5,20240226_1330_hmiigr_512.jpg,130,379,176.07100840286,0.7071067811865476,239.7588653564453,-30.080031136252078
34.5,20240226_1630_hmiigr_512.jpg,134,378,172.53985046939155,0.7071067811865476,239.7793426513672,-30.087914597325764
37.5,20240226_1930_hmiigr_512.jpg,138,378,169.7586522095413,0.7071067811865476,239.791259765625,-30.09992298194335
39.0,20240226_2100_hmiigr_512.jpg,140,378,168.3864602632884,0.7071067811865476,239.7852783203125,-30.109535372955712
40.5,20240226_2230_hmiigr_512.jpg,142,378,167.0269439342048,0.7071067811865476,239.7882843017578,-30.115036353901257
45.0,20240227_0300_hmiigr_512.jpg,148,377,162.27445886522005,0.7071067811865476,239.68699645996094,-30.10740374691069
49.5,20240227_0730_hmiigr_512.jpg,155,376,156.97452022541748,0.7071067811865476,239.67062377929688,-30.120382215805222
51.0,20240227_0900_hmiigr_512.jpg,158,376,155.08062419270823,0.7071067811865476,239.67062377929688,-30.135076871363548
57.0,20240227_1500_hmiigr_512.jpg,167,375,148.8086019019062,0.7071067811865476,239.73948669433594,-30.148563025325828
60.0,20240227_1800_hmiigr_512.jpg,172,375,145.90750494748377,0.7071067811865476,239.76651000976562,-30.170892072010037
63.0,20240227_2100_hmiigr_512.jpg,177,375,143.12232530251876,0.7071067811865476,239.74827575683594,-30.17784213166753
66.0,20240228_0000_hmiigr_512.jpg,181,374,140.13208055259867,0.7071067811865476,239.7224578857422,-30.183682300123618
75.0,20240228_0900_hmiigr_512.jpg,195,374,133.27040181525678,0.7071067811865476,239.62937927246094,-30.18089968758615
76.5,20240228_1030_hmiigr_512.jpg,199,373,130.61393493804556,0.7071067811865476,239.61624145507812,-30.20515816285233
79.5,20240228_1330_hmiigr_512.jpg,204,373,128.5496013218244,0.7071067811865476,239.6709747314453,-30.21624881392208
81.0,20240228_1500_hmiigr_512.jpg,206,373,127.76932339180638,0.7071067811865476,239.70262145996094,-30.228505856486844
82.5,20240228_1630_hmiigr_512.jpg,209,373,126.64912159190051,0.7071067811865476,239.7057647705078,-30.232981949971684
84.0,20240228_1800_hmiigr_512.jpg,212,373,125.59060474414477,0.7071067811865476,239.68429565429688,-30.234311972204143
85.5,20240228_1930_hmiigr_512.jpg,214,373,124.91997438360288,0.7071067811865476,239.72222900390625,-30.24309806807647
88.5,20240228_2230_hmiigr_512.jpg,220,372,122.12288892750614,0.7071067811865476,239.682861328125,-30.242098718813747
90.0,20240229_0000_hmiigr_512.jpg,222,372,121.56479753612885,0.7071067811865476,239.63816833496094,-30.244276350138136
91.5,20240229_0130_hmiigr_512.jpg,225,372,120.78493283518438,0.7071067811865476,239.63096618652344,-30.247217561888224
94.5,20240229_0430_hmiigr_512.jpg,230,372,119.64113005150027,0.7071067811865476,239.53062438964844,-30.238367386625093
96.0,20240229_0600_hmiigr_512.jpg,232,372,119.23925528113634,0.7071067811865476,239.53062438964844,-30.24587786395433
97.5,20240229_0730_hmiigr_512.jpg,235,372,118.69709347747316,0.7071067811865476,239.53062438964844,-30.249581252198865
99.0,20240229_0900_hmiigr_512.jpg,238,372,118.2285921425101,0.7071067811865476,239.53741455078125,-30.254100774147506
100.5,20240229_1030_hmiigr_512.jpg,240,372,117.957619508025,0.7071067811865476,239.53741455078125,-30.25772545541883
102.0,20240229_1200_hmiigr_512.jpg,243,372,117.61377470347595,0.7071067811865476,239.61883544921875,-30.271598894130396
108.0,20240229_1800_hmiigr_512.jpg,253,372,117.01709276853532,0.7071067811865476,239.660888671875,-30.280467571230965
114.0,20240301_0000_hmiigr_512.jpg,264,372,117.34564329364768,0.7071067811865476,239.59259033203125,-30.28566821211372
120.0,20240301_0600_hmiigr_512.jpg,275,372,118.69709347747316,0.7071067811865476,239.47659301757812,-30.28423583803575
121.5,20240301_0730_hmiigr_512.jpg,277,372,119.05040949110591,0.7071067811865476,239.4751434326172,-30.29667727708413
